A11D1QXK72A111|cf_pilot_appendicitis_1|30Z7M1Q8UYXRC97PAZP2NU8X73W8A4|23389719|Yes|1|CantTell|No|"65-year-old man"|\N|\N|"relieved the ureteric obstruction"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|206897|2015-08-11 20:17:58
A11D1QXK72A111|cf_pilot_appendicitis_1|3AQN9REUTFT4PM1J7DEYC845LLWYDA|24370490|No|\N|\N|No|"REVIEW:","updated overview","updated review"|\N|\N|"treatment","management of attention-deficit/hyperactivity disorder (ADHD)","treatment","treatment","treatment"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|364117|2015-08-11 00:22:45
A11D1QXK72A111|cf_pilot_appendicitis_1|3D1TUISJWID4GOX0PQIK0KE5H2SUI9|24397858|Yes|1|No|No|"describe a 24-year-old Pakistani man","admitted twice to our hospital"|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|\N|0|0|1|1|\N|\N|0|0|238467|2015-08-11 00:16:32
A11D1QXK72A111|cf_pilot_appendicitis_1|3HY86PZXPYVCRM4GRJI943BGECOE1L|24828847|Yes|30|No|No|"Thirty patients","patient's blood pressure,"|\N|"elective abdominal surgery"|"Assessment of postoperative pain intensity","assessment of","VAS scores decreased significantly","significant correlations"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|231480|2015-08-11 20:22:01
A11D1QXK72A111|cf_pilot_appendicitis_1|3JMQI2OLFZIADNX50B5NVS6YH1SDNZ|24449261|Yes|50|Yes|No|"TUSILAA has been attempted","50 consecutive patients","Our technique was successful"|\N|"appendectomy.","appendectomy","acute appendicitis.","appendectomy.","acute appendicitis."|"gasless transumbilical single-incisional laparoscopic-assisted","laparoscopic surgery","gasless transumbilical single-incisional laparoscopic-assisted","first-choice surgical procedure"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|277402|2015-08-18 16:49:49
A11D1QXK72A111|cf_pilot_appendicitis_1|3P4C70TRMRUN174BQOQGOL56PY8GLA|24081017|No|\N|\N|Yes|"Retrospective review"|\N|\N|"diagnosis of suspected appendicitis","diagnosis of"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|24871698|0|0|306526|2015-08-11 00:08:13
A11D1QXK72A111|cf_pilot_appendicitis_1|3UEBBGULPF1K6XVAOICZXN1D1A0UFI|24563650|Yes|20|No|No|"20 patients","applied to patients","20 patients"|\N|\N|"our experience performing a laparoscopic sleeve gastrectomy"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|1|0|\N|\N|0|0|239197|2015-08-11 00:12:21
A1BSOOHNHX51RI|cf_pilot_appendicitis_1|34HEO7RUG67XUEML98V2EB32XVKARI|24868477|Yes|1|Yes|Yes|"44-year-old man"|\N|"acute abdominal pain."|"diagnostic laparoscopy."|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|950523|2015-08-12 15:47:35
A1BSOOHNHX51RI|cf_pilot_appendicitis_1|3K3IX1W4S64CI166WGRD9G3NWDWAPQ|24853833|No|\N|\N|No|"The removed appendix"|\N|\N|\N|\N|\N|\N|removed appendix was sent,|\N|\N|\N|Custom/repeat|0|0|0|0|\N|24841008|0|0|2306513|2015-08-12 15:31:40
A1BSOOHNHX51RI|cf_pilot_appendicitis_1|3SR6AEG6W56L126LT9XO3TJ3DDPYHJ|24340528|Yes|4|Yes|Yes|"stage 1 patients"|\N|"severe intestinal injury,","diagnosed preoperatory","appendicitis with peritonitis,"|"laparotomy,","laparotomy with intestinal resection"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|871289|2015-08-12 19:08:25
A1JVUD5XUB9H48|cf_pilot_appendicitis_1|306W7JMRYYBWVJCHGDPYI5S3PLHB82|24042211|Yes|1|Yes|Yes|"woman"|\N|"gangrenous appendicitis."|"laparoscopic appendicectomy.","laparoscopic appendicectomy","laparoscopic appendicectomy"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|103903|2015-08-18 05:30:27
A1JVUD5XUB9H48|cf_pilot_appendicitis_1|30Y6N4AHYP9VSLPXTIM44CB8IYHDRN|24013673|Yes|2928|No|No|"adults:","adults","(women),","(women)."|\N|"sarcopenia","sarcopenia","sarcopenia.","sarcopenia","sarcopenia.","sarcopenia","sarcopenia","sarcopenia","sarcopenia;","sarcopenia.","sarcopenia","sarcopenia","sarcopenia,"|"body mass index","Pain, physical activity,","body mass index,","potentially modifiable factors,"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|219221|2015-08-18 07:55:12
A1JVUD5XUB9H48|cf_pilot_appendicitis_1|31MBOZ6PAO4AKVO6O2UXYUKRR6GLC5|24115716|Yes|NoInfo|No|No|"man","patients."|\N|"acute abdominal pain.","acute abdominal pain was misdiagnosed"|"delay in the diagnosis"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|1012253|2015-08-17 05:14:55
A1JVUD5XUB9H48|cf_pilot_appendicitis_1|31MCUE39BKZ6L3EMKIMGSZBPPCHG3W|24649351|Yes|1|No|Yes|"male"|\N|"lung cancer:","lung cancer","lung cancer."|"chemotherapy","chemotherapy","chemotherapy","chemotherapy,","appendectomy","chemotherapy","chemotherapy"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|78212|2015-08-18 08:17:12
A1JVUD5XUB9H48|cf_pilot_appendicitis_1|31S7M7DAGG3R6CQHAOPNN4KVFSGTLW|22736133|Yes|27|Yes|Yes|"males","females"|\N|"abdominal abscess"|"laparoscopic","laparoscopic","laparoscopic","laparoscopic","laparoscopic","laparoscopic","Laparoscopic"|\N|\N|\N|\N|\N|\N|\N|\N|0|0|0|0|\N|\N|0|0|149694|2015-08-18 16:30:36
